# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 437300000
#
# Overhead  Symbol                                        Source:Line                      IPC   [IPC Coverage]
# ........  ............................................  ...............................  ....................
#
    17.40%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3969                  -      -            
    11.23%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64      -      -            
     7.32%  [.] campp_qconv_mac_neon_half_tile_v2         arm_neon.h:3969                  -      -            
     4.80%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:1605                  -      -            
     4.69%  [.] campp_reference_offset_for_linear         tensor_view.h:117                -      -            
     2.81%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4632                  -      -            
     2.72%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62      -      -            
     2.38%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:14    -      -            
     2.31%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23756                 -      -            
     2.24%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4653                  -      -            
     2.08%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:98    -      -            
     1.76%  [.] output_hash                               campp_operator_microbench.c:385  -      -            
     1.67%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:12569                 -      -            
     1.49%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:24037                 -      -            
     1.30%  [.] output_hash                               campp_operator_microbench.c:386  -      -            
     0.98%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:428             -      -            
     0.98%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:435             -      -            
     0.98%  [.] output_hash                               campp_operator_microbench.c:418  -      -            
     0.94%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23767                 -      -            
     0.94%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:436             -      -            
     0.91%  [.] output_hash                               campp_operator_microbench.c:384  -      -            
     0.89%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:437             -      -            
     0.87%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:126              -      -            
     0.87%  [.] campp_qconv_v4_tile_plan_create           qconv_v4_tile_plan.c:96          -      -            
     0.85%  [.] campp_qconv_v4_tile_plan_create           qconv_v4_tile_plan.c:9           -      -            
     0.71%  [.] campp_reference_offset_for_linear         tensor_view.h:116                -      -            
     0.64%  [.] campp_qconv_mac_neon_half_tile_v2         arm_neon.h:4653                  -      -            
     0.64%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:434             -      -            
     0.59%  [.] campp_qconv_v4_tile_plan_create           qconv_v4_tile_plan.c:83          -      -            
     0.57%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:423             -      -            
     0.55%  [.] output_hash                               campp_operator_microbench.c:417  -      -            
     0.53%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:80      -      -            
     0.53%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3181                  -      -            
     0.50%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24026                 -      -            
     0.46%  [.] campp_qconv_neon_weight_columns           arm_neon.h:3181                  -      -            
     0.46%  [.] campp_qconv_neon_weight_columns           arm_neon.h:4632                  -      -            
     0.46%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:126             -      -            
     0.43%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:128              -      -            
     0.41%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:22148                 -      -            
     0.41%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:152             -      -            
     0.41%  [.] campp_qconv_v4_tile_plan_create           qconv_v4_tile_plan.c:80          -      -            
     0.39%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:101             -      -            
